time,latitude,longitude,mag
2022-06-20 23:57:58.040000+00:00,38.8263321,-122.7985001,0.8
2022-06-20 23:54:35.210000+00:00,37.628334,-118.8730011,2.07
2022-06-20 23:53:02.320000+00:00,38.8253326,-122.8564987,0.37
2022-06-20 23:47:40.880000+00:00,53.8518333333333,-166.647166666667,-0.19
2022-06-20 23:47:16.727000+00:00,63.7577,-148.9799,1.0
2022-06-20 23:40:35.333000+00:00,58.298,-155.0573,0.5
2022-06-20 23:40:24.350000+00:00,33.5896667,-116.8671667,0.49
2022-06-20 23:37:13.600000+00:00,38.824501,-122.8574982,0.64
2022-06-20 23:31:56.160000+00:00,38.824501,-122.8568344,0.36
2022-06-20 23:30:09.220000+00:00,53.8558333333333,-166.643666666667,0.52
2022-06-20 23:28:45.870000+00:00,35.029,-117.6745,1.57
2022-06-20 23:26:58.970000+00:00,37.6306667,-118.8731667,0.99
2022-06-20 23:21:55.830000+00:00,37.6268333,-118.871,1.66
2022-06-20 23:19:10.770000+00:00,38.7973328,-122.7151642,0.87
2022-06-20 23:19:00.980000+00:00,37.6298332,-118.8730011,1.86
2022-06-20 23:17:53.460000+00:00,37.4961667,-121.8255,0.94
2022-06-20 23:02:17.100000+00:00,37.6238327,-118.87117,2.35
2022-06-20 23:00:37.610000+00:00,46.96866666666666,-122.27166666666666,1.52
2022-06-20 22:55:49.790000+00:00,37.6275,-118.873,0.28
2022-06-20 22:51:49.690000+00:00,17.9875,-66.9551666666667,1.77
2022-06-20 22:49:43.770000+00:00,36.2905,-98.18566667,1.47
2022-06-20 22:48:35.740000+00:00,33.5835,-116.8095,1.45
2022-06-20 22:44:34.736000+00:00,37.4236,-116.8011,1.0
2022-06-20 22:42:59.517000+00:00,37.3085,-114.6472,1.6
2022-06-20 22:42:47.240000+00:00,37.6408348,-118.8901672,1.38
2022-06-20 22:42:28.150000+00:00,37.6185,-118.869,0.48
2022-06-20 22:41:22.783000+00:00,37.2973,-114.656,2.1
2022-06-20 22:39:00.280000+00:00,36.0294991,-120.5913315,2.22
2022-06-20 22:36:16.640000+00:00,36.8921661,-121.6155014,2.04
2022-06-20 22:36:12.601000+00:00,0.0267,123.5349,4.3
2022-06-20 22:15:09.680000+00:00,36.0221667,-117.8905,0.91
2022-06-20 22:13:46.420000+00:00,37.6381667,-118.886,0.56
2022-06-20 22:12:24.900000+00:00,35.0588333,-118.3446667,1.12
2022-06-20 22:02:00.050000+00:00,58.4423333333333,-154.4405,0.69
2022-06-20 21:55:20.030000+00:00,37.6385002,-118.8884964,1.87
2022-06-20 21:53:37.190000+00:00,19.6148333333333,-155.277,2.9
2022-06-20 21:53:23.030000+00:00,-25.4768,179.7037,4.4
2022-06-20 21:49:26.119000+00:00,36.334,-116.3159,0.3
2022-06-20 21:43:29.190000+00:00,63.0817,-150.9628,1.5
2022-06-20 21:38:53.290000+00:00,35.9459991,-120.4643326,0.95
2022-06-20 21:36:38.580000+00:00,59.9885,-153.044166666667,-0.09
2022-06-20 21:34:33.310000+00:00,35.8901667,-117.6885,0.95
2022-06-20 21:34:04.970000+00:00,18.1571666666667,-66.8386666666667,3.1
2022-06-20 21:22:22.200000+00:00,37.628334,-118.8721695,1.31
2022-06-20 21:15:25+00:00,49.38166666666667,-120.523,1.81
2022-06-20 21:13:54.750000+00:00,37.6253333,-118.8748333,0.9
2022-06-20 21:09:23.870000+00:00,33.5935,-116.805,0.34
2022-06-20 21:07:11.870000+00:00,19.1989994049072,-155.414169311523,2.42
2022-06-20 21:06:54.470000+00:00,37.6343333,-118.8786667,0.21
2022-06-20 21:06:49.750000+00:00,17.9803333333333,-66.9961666666667,2.48
2022-06-20 21:03:35.440000+00:00,33.8683333,-117.515,1.16
2022-06-20 21:02:40.740000+00:00,46.8851667,-112.4813333,0.9
2022-06-20 21:01:08.760000+00:00,37.6333351,-118.8763351,1.76
2022-06-20 20:56:53.740000+00:00,37.6273346,-118.8738327,1.73
2022-06-20 20:55:41.070000+00:00,37.6318321,-118.878334,1.87
2022-06-20 20:50:09.480000+00:00,38.7900009,-122.7343369,0.76
2022-06-20 20:49:22.440000+00:00,37.6276665,-118.8721695,2.05
2022-06-20 20:49:17.434000+00:00,63.5498,-148.7839,0.3
2022-06-20 20:47:03.180000+00:00,38.8226662,-122.7991638,0.84
2022-06-20 20:45:30.980000+00:00,38.8238335,-122.8010025,0.65
2022-06-20 20:45:21.806000+00:00,38.5562,-119.5134,1.4
2022-06-20 20:44:55.320000+00:00,37.6398315,-118.8925018,1.09
2022-06-20 20:42:29.090000+00:00,37.6253333,-118.8721667,0.72
2022-06-20 20:38:02.800000+00:00,37.6286659,-118.8744965,2.48
2022-06-20 20:33:14.670000+00:00,19.1665000915527,-155.373001098633,2.0
2022-06-20 20:31:25.950000+00:00,44.7888333,-110.8091667,0.52
2022-06-20 20:24:15.790000+00:00,33.147,-116.4168333,1.09
2022-06-20 20:23:10.450000+00:00,37.6246667,-118.8731667,1.8
2022-06-20 20:19:20.460000+00:00,18.058,-67.0926666666667,2.53
2022-06-20 20:01:14.450000+00:00,37.6303329,-118.8748322,1.71
2022-06-20 20:00:37.180000+00:00,32.8226667,-117.07,0.87
2022-06-20 19:58:16.961000+00:00,61.339,-150.9724,1.3
2022-06-20 19:55:06.920000+00:00,53.7993333333333,-166.566,0.17
2022-06-20 19:52:58.753000+00:00,60.4209,-152.3716,1.7
2022-06-20 19:50:15.918000+00:00,63.5383,-147.3287,1.7
2022-06-20 19:47:54.110000+00:00,33.667,-116.7115,0.58
2022-06-20 19:45:58.335000+00:00,53.2071,-166.6975,2.2
2022-06-20 19:41:15.500000+00:00,33.1446667,-116.4175,1.85
2022-06-20 19:38:31.530000+00:00,43.1893333,-110.8973333,1.56
2022-06-20 19:38:12.080000+00:00,35.0815,-95.52216667,1.24
2022-06-20 19:33:02.470000+00:00,47.4255,-123.98616666666666,1.53
2022-06-20 19:31:47.910000+00:00,48.0223333,-115.1131667,1.29
2022-06-20 19:26:50.070000+00:00,37.6398333,-118.882,0.06
2022-06-20 19:25:08.600000+00:00,33.1463333,-116.4105,1.07
2022-06-20 19:24:33.610000+00:00,37.6380005,-118.8843307,1.6
2022-06-20 19:22:59.830000+00:00,37.6395,-118.882,0.06
2022-06-20 19:22:46.648000+00:00,59.1032,-153.2902,1.4
2022-06-20 19:20:28.090000+00:00,33.144,-116.416,1.8
2022-06-20 19:09:52.011000+00:00,60.6236,-151.8041,3.4
2022-06-20 19:09:16.306000+00:00,-17.4593,167.3703,5.4
2022-06-20 19:07:59.640000+00:00,39.8321667,-123.5763333,1.86
2022-06-20 19:06:55.060000+00:00,34.27683333,-96.3735,1.49
2022-06-20 19:03:28.050000+00:00,37.6338348,-118.8753357,1.74
2022-06-20 19:02:45.140000+00:00,35.0,-118.1906667,1.26
2022-06-20 19:00:28.110000+00:00,34.0193333,-117.1031667,1.91
2022-06-20 19:00:02+00:00,33.8413333,-117.4951667,2.15
2022-06-20 18:59:15.660000+00:00,37.639,-118.8816667,-0.01
2022-06-20 18:57:54.440000+00:00,37.6363333,-118.8825,0.93
2022-06-20 18:57:33.740000+00:00,37.6349983,-118.8826675,1.49
2022-06-20 18:57:04.176000+00:00,38.1756,-117.8222,0.8
2022-06-20 18:51:09.785000+00:00,31.65436954,-104.4566163,2.3
2022-06-20 18:46:24.120000+00:00,37.2618332,-121.6366653,2.01
2022-06-20 18:39:22.652000+00:00,-22.2128,-179.4594,4.4
2022-06-20 18:37:37.840000+00:00,44.7916667,-110.8026667,0.11
2022-06-20 18:35:39+00:00,19.1963329315186,-155.392166137695,2.13000011
2022-06-20 18:34:14.170000+00:00,37.633667,-118.8815002,1.75
2022-06-20 18:30:27.562000+00:00,39.9769,-121.6256,1.2
2022-06-20 18:29:38.789000+00:00,59.9945,-152.4911,1.1
2022-06-20 18:29:26.220000+00:00,54.1918333333333,-165.988166666667,-0.56
2022-06-20 18:28:34.770000+00:00,40.9688333,-125.2936667,2.98
2022-06-20 18:27:47.920000+00:00,35.8826667,-117.6776667,0.28
2022-06-20 18:19:32.991000+00:00,59.9822,-152.3538,1.9
2022-06-20 18:13:36.490000+00:00,38.8113327,-122.7726669,0.59
2022-06-20 18:13:17.970000+00:00,38.8095016,-122.7695007,1.42
2022-06-20 18:11:45.850000+00:00,37.6338348,-118.8758316,1.4
2022-06-20 18:06:39.650000+00:00,37.6355019,-118.8820038,1.79
2022-06-20 17:59:13.650000+00:00,35.6846667,-117.511,1.47
2022-06-20 17:57:42.070000+00:00,38.8255005,-122.8048325,1.17
2022-06-20 17:42:40.090000+00:00,37.6155014,-122.3671646,1.63
