Longitude,Latitude,osm_id,source,capacitype,operatorty,building,amenity,addrcity,addrfull,name
44.5183172,40.8009315,7138352010,,,,,school,,,Ծովակալ Իսակովի անվան թիվ 23 դպրոց
44.4917013,40.8127024,7138422834,,,,,school,,,Ստեփան Շահումյանի անվան թիվ 6 դպրոց
43.9419204,40.587713,7156719986,,,,,kindergarten,,,ՄԱՆԿԱՊԱՐՏԵԶ
43.9379725,40.5868832,7156720085,,,,,school,,,Պեմզաշենի միջնակարգ դպրոց
44.5237641,40.2071932,7193000785,,,,,kindergarten,,,Մանկապարտեզ թիվ 5
44.5266406,40.1865348,7369486588,,,,,school,,,Հրաչյա Աճառյանի անվան թիվ 72 դպրոց
44.5270054,40.1861721,7369486589,,,,,university,,,Մաշտոց համալսարան
44.5276438,40.1760838,7369486594,,,,,school,,,
44.5275338,40.1749443,7369486604,,,,,school,,,Խրիմյան Հայրիկի անվան  թիվ 10 հիմնական դպրոց
44.5274721,40.1747578,7369486613,,,,,school,,,"""Սլավոնական"" Միջնակարգ դպրոց"
44.526341,40.1822083,7370668924,,,,,university,,,Իրավագիտության ֆակուլտետ
44.5263538,40.181338,7370668925,,,,,university,,,Սոցիոլոգիայի և ինֆորմատիկայի ֆակուլտետ
44.5460033,40.2018905,7441004150,,,,,university,,,Ինֆորմատիկայի և վիճակագրության ֆակուլտետ
44.5456291,40.2004994,7441004155,,,,,kindergarten,,,Թիվ 151 մանկապարտեզ
44.4868807,40.1924659,7448826653,,,,,university,,,ՀՀ պետական կառավարման ակադեմիան
44.4748862,40.210737,7469512392,,,,,university,,,Երևանի գյուղատնտեսական համալսարան
44.4776806,40.1524837,7528462119,,,,,kindergarten,,,Թիվ 132 Մանկապարտեզ
44.5185763,40.1798345,7660093796,,,,,kindergarten,,,Թիվ 5 Երևանի մանկապարտեզ
44.5214004,40.1696047,7660823602,,,,,school,,,Թիվ 40 Դպրոց Շավարյանի անվան
44.3323969,40.1457948,7682313287,,,,,school,,,
44.5225268,40.1810076,7759922886,,,,,college,Երևան,,Կանա հոգեբանական կենտրոն
44.5013269,40.1925483,7760241685,,,,,school,,,ՏԻ ՎԻ իդեալ
44.4658747,40.1683171,7780322752,,,,,school,,,Թիվ 152 դպրոց
44.4931538,40.8092673,7831312589,,,,,school,,,Թիվ 20 Դպրոց
44.4930769,40.812233,7831312629,,,,,kindergarten,,,Մանկապարտեզ
44.9579371,40.5478529,7835355820,,,,,college,,,Սևանի քոլեջ
45.75989,39.6848335,7841953919,,,,,school,,,
45.2791733,40.9955461,7846590269,,,,,school,,,
45.457191,40.1587061,7877649827,,,,,school,,,Ծովինարի Դպրոոց
45.2905416,40.116795,7877791350,,,,,school,,,
45.3040464,40.1475512,7911870122,,,,,school,,,Մարտունու Ավագ դպրոց
44.5091016,40.1807828,7935284103,,,,,kindergarten,,,Թիվ 10 մանկպարտեզ
44.505396,40.2123481,7945504296,,,,,college,,,Օստրովսկու անվան Երևանի Պետական Հումանիտար Քոլեջ
45.4262115,40.1397072,7972425187,,,,,school,,,Արտակ Օհանյանի անվան դպրոց
44.5692216,40.1811132,8097744117,,,,,school,,,
45.1467133,40.8799941,8129671217,,,,,school,,,
44.5109293,40.1537282,8244367175,,,,,kindergarten,,,ԹԻՎ 63 ՄԱՆԿԱՊԱՐՏԵԶ
44.567659,40.1811959,8285839217,,,,,school,,,
44.592028,40.187082,8316727542,,,,,school,,,
44.5297889,40.2063986,8319655918,,,,,college,,,Երևանի զարդարվեստի պետական ուսումնարան
43.7348598,40.2734588,8326868280,,,,,school,,,
43.8171609,40.2475936,8329495456,,,,,school,,,
44.4645216,40.2077634,8330148455,,,,,kindergarten,,,
46.3923293,39.2841285,8361390755,,,,,school,,,
46.3717353,39.3092133,8381058193,,,,,school,,,
46.3565594,39.2818613,8386530906,,,,,school,,,
